episode steps reward
0 5074.701999999999 -507.5231622286616
1 4980.053 -506.3341207540325
2 4983.152 -511.1650659296294
3 4901.737 -507.8684769419251
4 4853.477 -511.0699830324858
5 4876.961 -529.3935538178309
6 4842.255999999999 -1.7075565523995165e+70
7 4853.215999999999 -3.992003362774088e+71
8 4841.1990000000005 -5.968471791183746e+71
9 4947.6449999999995 -6.099525809540486e+71
10 4997.058999999999 -8.260312342554856e+71
11 4973.401 -1.6503786495427498e+72
12 4981.138999999999 -2.2359763284974228e+72
13 5009.511 -2.267553179169439e+72
14 4939.683999999999 -2.2832273385921984e+72
15 4889.789999999999 -2.7449791512968323e+72
16 4922.574999999999 -2.7387129414442794e+72
17 4978.022999999999 -2.4493048470228126e+72
18 5007.432 -2.798585238296523e+72
19 4912.0160000000005 -2.8038745807630774e+72
20 4838.57 -2.626890705797122e+72
21 4833.356 -2.2735478645451983e+72
22 4777.319999999999 -2.0128512368691954e+72
23 4698.4839999999995 -2.399726369333268e+72
24 4735.667 -3.1580045266996377e+72
25 4703.85 -3.158373335437339e+72
26 4681.01 -3.2241479965090723e+72
27 4557.874 -3.568093818682471e+72
28 4503.596 -3.672736370999774e+72
29 4510.155000000001 -3.654341626697546e+72
30 4550.144 -3.67951266348565e+72
31 4546.522000000001 -3.276404081778618e+72
32 4621.567000000001 -2.9751030180238194e+72
33 4688.271000000001 -2.55665103488773e+72
34 4639.227 -1.8411370125585195e+72
35 4738.056 -1.778842508203905e+72
36 4785.072 -2.1819061570390172e+72
37 4872.304999999999 -2.1884676360151726e+72
38 4871.700999999999 -2.239651697455718e+72
39 4844.998 -2.422132343421423e+72
40 4841.605999999999 -2.4925043647320097e+72
41 4854.638999999999 -2.4787393803274318e+72
42 4786.322999999999 -3.2189367297303654e+72
43 4753.123 -4.0204681279374775e+72
44 4798.715999999999 -4.133170102496817e+72
45 4774.915 -4.549964948949094e+72
46 4721.264 -4.394926970837139e+72
47 4664.502 -4.7059474917223116e+72
48 4622.981999999999 -4.003193643849787e+72
49 4570.859999999999 -4.490100434701836e+72
50 4543.144 -4.449874476125862e+72
51 4512.132 -5.1138572725176435e+72
52 4500.389 -4.350059935590839e+72
53 4459.296 -4.215756273417687e+72
54 4381.181 -4.079912503700212e+72
55 4298.116 -4.0851388227775494e+72
56 4267.2469999999985 -4.576382819841303e+72
57 4273.268999999999 -3.8221383214746306e+72
58 4319.583 -3.915228918362834e+72
59 4407.322999999999 -3.2845492811728305e+72
60 4404.17 -3.1901374033146315e+72
61 4449.79 -2.532013496376836e+72
62 4490.259999999999 -2.5620643361624024e+72
63 4489.282 -1.9237694053987404e+72
64 4545.7519999999995 -2.166389502812e+72
65 4556.42 -1.5597201583430641e+72
66 4545.15 -8.494190951296662e+71
67 4522.681999999999 -8.494190951296663e+71
68 4486.463000000001 -9.913470277584786e+71
69 4440.664999999999 -9.526392281307272e+71
70 4449.2609999999995 -1.446873214947555e+72
71 4384.205 -1.3974285160251495e+72
72 4314.384 -1.3920224083414193e+72
73 4263.9169999999995 -2.1226488938819623e+72
74 4281.967000000001 -1.9826487464436158e+72
75 4329.017 -2.096187396510779e+72
76 4345.121 -2.0098234869209117e+72
77 4313.218 -2.0204257385436804e+72
78 4314.308999999999 -2.54422881211033e+72
79 4356.936 -2.9347286860333084e+72
80 4383.617 -2.4705687977774255e+72
81 4430.744 -3.0141027400576915e+72
82 4528.103 -3.027777904993377e+72
83 4560.51 -2.2831435151921905e+72
84 4531.627 -2.2523007133348493e+72
85 4452.4839999999995 -2.0000862646809457e+72
86 4419.956 -2.0025672974550127e+72
87 4421.575000000001 -2.0048169326629893e+72
88 4433.7919999999995 -1.988417673507336e+72
89 4391.789 -1.9502146502000424e+72
90 4240.629 -2.449301227595835e+72
91 4147.563 -2.6841545334903547e+72
92 4005.4630000000006 -2.98428561601576e+72
93 4034.9320000000007 -2.9983395842212078e+72
94 3996.125000000001 -3.26132608497896e+72
95 4011.9170000000004 -3.4874495968540904e+72
96 3984.368000000001 -3.4657798523532022e+72
97 3837.9670000000006 -3.4529279655224574e+72
98 3742.697000000001 -2.724558601745563e+72
99 3643.851 -2.4648817412754706e+72
100 3604.2690000000002 -2.2725008106809458e+72
101 3537.621 -1.7838308766422843e+72
102 3543.2879999999996 -1.7015341390286392e+72
103 3457.5809999999997 -2.491862493877817e+72
104 3362.799 -2.1509805226797726e+72
105 3254.2299999999996 -1.848354871242981e+72
106 3201.6169999999997 -2.08548327763388e+72
107 3264.91 -2.096868175738745e+72
108 3300.743 -2.32867398452977e+72
109 3340.546 -2.2499697925185436e+72
110 3425.8299999999995 -2.7333010300763557e+72
111 3471.7169999999996 -2.5708360435690165e+72
112 3482.8950000000004 -2.336006046700489e+72
113 3545.2650000000003 -1.8997356313754283e+72
114 3601.3370000000004 -1.881130854520942e+72
115 3613.672 -1.881130854520942e+72
116 3621.439 -1.6440024481300423e+72
117 3649.665 -1.985314002437998e+72
118 3606.0740000000005 -1.775942892346276e+72
119 3573.2270000000003 -1.824403221582805e+72
120 3584.821000000001 -1.7836234510844483e+72
121 3539.55 -2.4209366055536913e+72
122 3556.4990000000007 -3.113851044919795e+72
123 3492.954 -3.174642470692095e+72
124 3512.6320000000005 -3.1640690705675204e+72
125 3572.436 -3.638041327698346e+72
126 3623.5740000000005 -3.681192411222947e+72
127 3608.9780000000005 -3.376982304424626e+72
128 3614.4920000000006 -3.3572242099677825e+72
129 3663.553 -3.3095617231391447e+72
130 3588.755 -3.3384105944247517e+72
131 3616.782 -2.9324740645496683e+72
132 3578.5019999999995 -2.4285924004908472e+72
133 3536.297 -2.276941649707865e+72
134 3470.7599999999998 -2.8041035918751866e+72
135 3420.417 -2.7683937355950907e+72
136 3338.6809999999996 -2.78084579161299e+72
137 3320.3100000000004 -2.7814401322761574e+72
138 3302.9629999999997 -3.052893968372501e+72
139 3266.957 -3.7888442619588265e+72
140 3306.561 -2.9919507465682746e+72
141 3355.494 -2.640749622935789e+72
142 3334.058 -2.6402778058575353e+72
143 3393.8839999999996 -3.0967597956614395e+72
144 3373.567 -3.3245919341342417e+72
145 3378.523 -2.898565385487063e+72
146 3387.157 -3.6120064066579e+72
147 3365.5210000000006 -3.588039025331005e+72
148 3374.898 -3.316968541956557e+72
149 3293.268 -3.22813857064583e+72
150 3316.079 -3.2730237470255596e+72
151 3328.4139999999998 -3.2828674615255884e+72
152 3332.7110000000002 -3.085112048307157e+72
153 3255.8960000000006 -2.8421448530559693e+72
154 3276.939 -2.846279216824923e+72
155 3244.889 -3.0163620694314685e+72
156 3212.9900000000007 -2.3329997841464705e+72
157 3223.7960000000003 -3.1202916876072748e+72
158 3202.2980000000002 -3.1549109547354966e+72
159 3224.8120000000004 -2.4930769919176394e+72
160 3184.6809999999996 -2.45000826825749e+72
161 3115.8509999999997 -2.444050485981799e+72
162 3147.5109999999995 -2.6223445802836573e+72
163 3208.341 -2.1400980284745247e+72
164 3257.5530000000003 -1.528732791222768e+72
165 3309.0450000000005 -1.3644664872130798e+72
166 3397.7490000000007 -2.001613532411091e+72
167 3433.9270000000006 -1.348586033412096e+72
168 3491.3239999999996 -1.3623989062345233e+72
169 3603.7619999999997 -1.3889697660320907e+72
170 3638.118 -1.3758667449957876e+72
171 3676.4259999999995 -1.407550355234741e+72
172 3612.5009999999993 -1.2386037598496771e+72
173 3613.6539999999995 -1.9307264778809062e+72
174 3588.0879999999997 -1.7829632707235857e+72
175 3539.0690000000004 -1.9213046227184904e+72
176 3491.172 -1.3807732649261558e+72
177 3450.5389999999998 -1.3030803050909775e+72
178 3383.16 -1.2502749736305971e+72
179 3315.9800000000005 -1.4305791316777589e+72
180 3235.8900000000003 -1.5789586716960095e+72
181 3112.579 -1.6699131046768884e+72
182 3131.28 -1.6613711544398637e+72
183 3087.3379999999997 -9.458027099365138e+71
184 3021.0389999999998 -1.4554098215447842e+72
185 2985.5369999999994 -1.2990160687494706e+72
186 2966.9579999999996 -1.2827037077243545e+72
187 2946.54 -1.5650120834670897e+72
188 2905.063 -2.3633790423248303e+72
189 2860.3959999999997 -2.1565040244801014e+72
190 2877.53 -2.2544101827462182e+72
191 2989.8360000000002 -2.908494914268107e+72
192 2983.739 -3.0978236991080555e+72
193 3013.8300000000004 -3.121018822580705e+72
194 3080.369 -2.631232865854957e+72
195 3155.147 -2.631232865854957e+72
196 3149.485 -2.7201304416055978e+72
197 3148.0700000000006 -2.368228593187827e+72
198 3257.5889999999995 -1.577127806960991e+72
199 3283.8940000000002 -1.7272343236893702e+72
200 3272.4820000000004 -1.4946885424849858e+72
201 3150.924 -1.0058425794646286e+72
202 3092.346 -1.1341367299066512e+72
203 3054.9869999999996 -1.1288928099596857e+72
204 3029.436 -1.9059462147893138e+72
205 2999.841 -2.69663444224126e+72
206 2999.9030000000002 -3.1445705275053435e+72
207 2994.926 -3.899209539688215e+72
208 2886.649 -4.4993064472297004e+72
209 2848.2639999999997 -5.045360151754359e+72
210 2824.2679999999996 -5.136894924733136e+72
211 2852.296 -4.930763445818353e+72
212 2880.8199999999997 -5.246311936168426e+72
213 2863.036 -5.579423653106278e+72
214 2851.237 -5.044365505310152e+72
215 2817.821000000001 -4.347701743311206e+72
216 2800.989 -3.681927270838394e+72
217 2816.55 -3.209255336220439e+72
218 2834.032 -2.7459633207968887e+72
219 2836.7389999999996 -2.7879748099453465e+72
220 2853.6899999999996 -2.7088970955113362e+72
221 2879.7219999999998 -2.626734669014857e+72
222 2916.2439999999997 -2.2296212896264925e+72
223 2935.082 -1.9780079904521303e+72
224 2970.531 -2.4002237719151483e+72
225 3020.292 -2.8158572481426643e+72
226 3022.653 -3.537655388255687e+72
227 3027.954 -3.2694324318894794e+72
228 3047.047 -3.43855736193311e+72
229 3064.3390000000004 -3.5112611744143064e+72
230 3008.0910000000003 -3.6644712731507366e+72
231 2974.218 -4.267935656211128e+72
232 2872.099 -4.089327430655722e+72
233 2850.469 -4.129788565715872e+72
234 2801.5219999999995 -3.877060824668977e+72
235 2773.4299999999994 -3.3955199165017805e+72
236 2802.6209999999996 -3.4105846316058473e+72
237 2733.7659999999996 -4.205185559557922e+72
238 2719.0080000000003 -3.8911421220291606e+72
239 2709.0069999999996 -3.1426097096183575e+72
240 2731.1189999999997 -3.0019870753770865e+72
241 2720.276 -2.8972717323002537e+72
242 2744.65 -3.1514680865067377e+72
243 2772.978 -3.778412964002793e+72
244 2780.718 -3.4557599351159285e+72
245 2747.0359999999996 -3.42764290160261e+72
246 2711.245 -2.653735656034708e+72
247 2791.2570000000005 -1.8445117624352106e+72
248 2768.5370000000003 -1.832619459565761e+72
249 2728.7570000000005 -2.5770875709505526e+72
250 2724.3689999999997 -3.319562838014642e+72
251 2723.451 -3.6195182572528714e+72
252 2730.058 -3.4652940801624644e+72
253 2684.7529999999997 -3.4883797717173456e+72
254 2610.1269999999995 -4.201752837263913e+72
255 2590.832 -4.201752837263913e+72
256 2615.984 -4.9912727879236385e+72
257 2585.37 -5.748330581559574e+72
258 2616.058 -5.7613918547999586e+72
259 2632.563 -5.016859231764601e+72
260 2682.22 -4.82948105799732e+72
261 2721.621 -4.056541362430902e+72
262 2703.707 -4.0074108802301594e+72
263 2756.92 -3.2362307481755514e+72
264 2800.93 -2.4304431021873766e+72
265 2826.038 -2.661955400995641e+72
266 2791.907 -2.4360530356169406e+72
267 2778.379 -2.248240371327293e+72
268 2770.042 -3.0484318706547957e+72
269 2751.852 -3.35647073191883e+72
270 2700.022 -3.5664062479655035e+72
271 2717.307 -3.8173336602207884e+72
272 2718.935 -3.89222427605055e+72
273 2665.332 -3.873463082704897e+72
274 2668.92 -4.11859790163083e+72
275 2687.4180000000006 -3.887085602822565e+72
276 2731.2140000000004 -3.722021274594139e+72
277 2718.722 -3.5614219365866356e+72
278 2696.8120000000004 -3.5314115252735085e+72
279 2718.5420000000004 -3.201489554731628e+72
280 2750.318 -2.408409096051123e+72
281 2713.092 -2.205542730651199e+72
282 2719.1150000000002 -2.1960279380815213e+72
283 2732.387 -2.641391141396399e+72
284 2701.593 -2.6238223280111136e+72
285 2633.8229999999994 -3.3510696849843332e+72
286 2628.8489999999997 -3.110857574051478e+72
287 2612.1150000000002 -3.4859471566025787e+72
288 2600.76 -2.78030807441008e+72
289 2583.6440000000007 -3.3639172836962937e+72
290 2545.6070000000004 -3.3667418231278566e+72
291 2567.7210000000005 -3.2879988866712005e+72
292 2583.794 -3.1585290423489387e+72
293 2616.6979999999994 -3.4659557447919353e+72
294 2682.4389999999994 -3.2507822684935817e+72
295 2756.085 -2.592782660193849e+72
296 2696.9739999999997 -3.0374711059423026e+72
297 2723.75 -2.2643263089728674e+72
298 2681.5119999999997 -2.2154671226084865e+72
299 2666.5519999999997 -1.7377856208305143e+72
300 2622.995 -2.266237328486654e+72
301 2551.9749999999995 -2.2497125888523687e+72
302 2522.607 -2.92629825729587e+72
303 2496.556 -2.8982062129464417e+72
304 2417.3849999999998 -2.883552339035234e+72
305 2353.339 -2.8468794271376125e+72
306 2397.532 -2.3094261183976342e+72
307 2409.3119999999994 -2.3137762388601233e+72
308 2467.1169999999997 -2.73138844236915e+72
309 2442.928 -2.6027303395023287e+72
310 2512.4119999999994 -2.405144531921601e+72
311 2541.877 -3.22938820047736e+72
312 2576.393 -2.495669698721309e+72
313 2548.686 -1.7926411079203684e+72
314 2612.0609999999997 -1.8253876221324477e+72
315 2620.2859999999996 -2.6179698351240233e+72
316 2567.0499999999997 -3.3210350766721163e+72
317 2514.181 -4.095323437488905e+72
318 2517.656 -4.068479669014548e+72
319 2529.678 -4.4999209520400336e+72
320 2451.486 -4.485838087941161e+72
321 2477.1050000000005 -3.661594419385403e+72
322 2480.463 -4.289515035931143e+72
323 2496.0950000000003 -4.267845765323638e+72
324 2437.76 -4.349230695514474e+72
325 2436.5960000000005 -4.230566843063017e+72
326 2454.2470000000003 -3.53732114416486e+72
327 2526.416 -3.1623099623949988e+72
328 2482.457 -2.822724492771271e+72
329 2574.162 -2.4063111250641837e+72
330 2634.3059999999996 -2.087766717930138e+72
331 2588.0980000000004 -2.6367793295664683e+72
