episode steps reward
0 5470.0869999999995 -475.6412933388671
1 5351.962 -463.06283035986854
2 5210.266 -446.8652467992576
3 5106.149 -435.60559074127633
4 5036.005 -428.30150226490167
5 4969.733000000001 -420.9767728427948
6 4921.768 -415.8618829446759
7 4817.732 -404.17853393113444
8 4641.463 -384.8454387079474
9 4570.276 -376.94728298437064
10 4499.139 -368.22960360909326
11 4456.243 -363.85522882560053
12 4420.175 -360.57273137436925
13 4368.835000000001 -354.9271683941334
14 4341.799000000001 -351.83278294391084
15 4285.881 -346.63190559726445
16 4274.524 -345.90808040603025
17 4269.306999999999 -345.08176148547295
18 4282.999999999999 -346.70396383853324
19 4258.9580000000005 -344.65290941190165
20 4150.178 -333.8156996887261
21 4162.8550000000005 -334.86507144100176
22 4148.068 -332.85706130188225
23 4094.6770000000006 -327.07505318935375
24 3963.0399999999995 -313.009636736179
25 3907.0919999999996 -306.64386821989456
26 3875.8619999999996 -303.08355444957544
27 3765.5409999999997 -292.1151713109888
28 3753.7580000000003 -291.31286856575196
29 3708.816 -286.15541355562993
30 3733.3559999999998 -288.60280944108797
31 3632.286 -277.5829360425275
32 3620.3990000000003 -277.5759426763436
33 3584.744 -274.042588733254
34 3697.2240000000006 -285.9558095356616
35 3712.1580000000004 -287.86736063408154
36 3680.0060000000003 -284.5838714311245
37 3644.9620000000004 -280.79007420926234
38 3614.3229999999994 -277.3460111285642
39 3601.2290000000003 -275.8416886611082
40 3626.458 -278.60301165714355
41 3636.942 -280.18861672217236
42 3574.249 -272.0535167240031
43 3597.234999999999 -274.2414525712155
44 3496.3880000000004 -263.57605382103446
45 3413.9739999999997 -254.42193753118627
46 3395.3189999999995 -252.1842738947833
47 3352.072 -247.3800577778814
48 3282.3369999999995 -239.99460829106283
49 3293.959 -241.3992543452577
50 3197.6410000000005 -231.10744386499817
51 3119.822 -223.20206607067067
52 3112.985 -223.04038536286401
53 3053.224 -216.55446172055653
54 3057.874 -217.59929213715458
55 3077.7819999999997 -219.5949205646722
56 3020.232 -213.76936497602665
57 3096.0209999999997 -221.79098378038356
58 3071.6440000000002 -219.28412197975848
59 2992.123 -210.87753757493783
60 2989.7160000000003 -210.5564700708068
61 2984.844 -209.50839928442355
62 2973.6740000000004 -208.4179971178111
63 2997.9170000000004 -211.1365828577957
64 2988.3700000000003 -209.81375850841997
65 3003.2050000000004 -211.77443678854493
66 2989.4350000000004 -210.37328622726076
67 2906.712 -201.77210626761183
68 2932.577 -204.40678337876557
69 2956.432 -206.77929142556485
70 2988.3199999999997 -209.88200209042537
71 2968.8360000000002 -208.27766231780225
72 2938.129999999999 -205.22298834957905
73 2909.8859999999995 -201.96703295465755
74 2855.202 -196.53208955359506
75 2813.766 -191.82782845180913
76 2814.094 -191.69856638139305
77 2841.9180000000006 -194.60139328146636
78 2824.9800000000005 -192.7688865990671
79 2768.7140000000004 -186.8421668599159
80 2684.659 -178.25285096980855
81 2679.2390000000005 -177.2612570851174
82 2716.065 -180.7270918180209
83 2738.733 -183.4219135749354
84 2776.1670000000004 -186.82992511542187
85 2784.202 -187.43459918799584
86 2735.791 -182.28256797583742
87 2674.022 -175.76366260619966
88 2626.325 -170.58671722532193
89 2664.432 -174.95466896175046
90 2681.312 -176.79449270899158
91 2701.323 -179.041722450116
92 2631.5 -171.83690124012423
93 2556.67 -163.68549127701635
94 2494.544 -157.28414385224937
95 2449.64 -152.8435926407632
96 2479.687 -156.01868761863824
97 2540.944 -161.919981967419
98 2565.4939999999997 -164.46545632210922
99 2540.898 -161.70819856580908
100 2526.347 -159.91330819023455
101 2577.177 -164.95813955005434
102 2585.343 -165.7958842242303
103 2593.415 -166.8459258254407
104 2585.76 -165.93770440755068
105 2648.147 -172.51132184017808
106 2596.839 -167.09881105337152
107 2549.353 -162.2974807708965
108 2505.433 -157.90869346387973
109 2466.7679999999996 -154.01897360784756
110 2459.787 -153.53201482152173
111 2441.1609999999996 -151.68849097238075
112 2385.4279999999994 -145.875872927821
113 2387.1229999999996 -146.08067482194537
114 2439.079 -151.79122638576985
115 2407.0550000000003 -148.61174692212245
116 2395.608 -147.48948342804212
117 2406.1400000000003 -148.81391322061796
118 2432.9120000000003 -151.57016467514887
119 2464.5800000000004 -154.8363464435057
120 2491.2490000000003 -157.80589410896715
121 2431.189 -151.50815923671072
122 2489.873 -157.45243103027673
123 2483.4890000000005 -156.999057237975
124 2431.9820000000004 -151.6677276789963
125 2398.3130000000006 -147.9712952855695
126 2424.0450000000005 -151.0158781575502
127 2406.691 -149.3476561357987
128 2374.125 -145.85172469936217
129 2355.3199999999997 -143.66110503183447
130 2317.538 -139.36785062130872
131 2287.321 -136.2793695964628
132 2277.335 -135.39932132825226
133 2263.5119999999997 -133.99677320416535
134 2250.636 -132.73758155341238
135 2249.933 -132.77178409385274
136 2262.5519999999997 -133.80719919776593
137 2248.048 -132.237003291597
138 2266.41 -134.39610940153244
139 2312.149 -139.33553420226085
140 2330.5330000000004 -141.59765938963443
141 2383.1649999999995 -147.14883762652642
142 2354.5469999999996 -144.22800165717786
143 2348.4709999999995 -143.3633973250306
144 2328.5209999999997 -141.09439666346586
145 2286.4119999999994 -136.90978536952886
146 2281.823 -136.3435274747085
147 2309.4379999999996 -139.01522842659125
148 2305.5909999999994 -138.57802246599073
149 2223.964 -129.94011648187006
150 2175.5229999999997 -124.76972229904773
151 2135.8019999999997 -120.59904935484602
152 2126.25 -119.51142635374306
