sweep delta
1 100.40953837582937
2 20.43096573367759
3 16.51381628439332
4 13.59226089204769
5 11.276958385317286
6 9.411548170799549
7 7.894432086954069
8 6.651556614088747
9 5.626569551779866
10 4.775966778552444
11 4.0659621532002745
12 3.4701828455650343
13 2.967912170108889
14 2.5427520239348382
15 2.18161205179166
16 1.8739500895770504
17 1.611202157328563
18 1.386353579834548
19 1.1936145739107644
20 1.0340774822922114
21 0.8977003924638822
22 0.7783399609347441
23 0.6741704026725444
24 0.5834665900564602
25 0.5046336667971261
26 0.436220159798701
27 0.376920396227753
28 0.32557022321619655
29 0.2811387611170346
30 0.24271803424835525
31 0.20951170293515986
32 0.18082368894485512
33 0.1560471879483245
34 0.1346543583672215
35 0.11618683810661423
36 0.1002471494218895
37 0.08649099341756283
38 0.07462039938342002
39 0.06437767321860832
40 0.0555400785524256
41 0.047915180314618055
42 0.04133678098676796
43 0.03566138288840648
44 0.030765114471570598
45 0.02654106394317779
46 0.022896969110334453
47 0.019753217828352376
48 0.017041118636861086
49 0.014701405991338845
50 0.012682948886379108
51 0.01094163561307937
52 0.009439410906352919
53 0.008143444844776582
54 0.007025415595926177
55 0.006060890492328497
56 0.0052287920079194805
57 0.004510937021251493
58 0.0038916393276196004
59 0.0033573667293822496
60 0.002896445217203336
61 0.0024988037791118245
62 0.002155754259263176
63 0.0018598014529160878
64 0.001604479284900151
65 0.0013842094884850553
66 0.0011941796939396454
67 0.0010302382602702664
68 0.0008888035504099889
