sweep delta
1 103.54004114866257
31 14.505036583174956
61 14.42665553601239
91 14.330738426113612
121 14.234834754445274
151 14.139554172660155
181 14.044910694964074
211 13.950900692889263
241 13.857519948583558
271 13.764764250875487
301 13.672629416025302
331 13.58111128827295
361 13.490205739670273
391 13.399908669901379
421 13.310216006097107
451 13.221123702648583
481 13.132627741026226
511 13.0447241296024
541 12.957408903461328
571 12.870678124230835
601 12.784527879899542
631 12.698954284638603
661 12.613953478636176
691 12.529521627906433
721 12.445654924133123
751 12.362349584489493
781 12.279601851469124
811 12.197407992716762
841 12.115764300857336
871 12.034667093335884
901 11.954112712242932
931 11.874097524156241
961 11.794617919969824
991 11.715670314737508
1021 11.63725114751287
1051 11.559356881180065
1081 11.481984002299214
1111 11.405129020946333
1141 11.328788470565996
1171 11.252958907794891
1201 11.177636912325397
1231 11.102819086743693
1261 11.02850205636787
1291 10.95468246911696
1321 10.881356995341775
1351 10.808522327672108
1381 10.73617518089668
1411 10.66431229177033
1441 10.59293041890487
1471 10.522026342601748
1501 10.451596864721068
1531 10.381638808517891
1561 10.312149018525815
1591 10.24312436038963
1621 10.174561720734346
1651 10.10645800702332
1681 10.038810147430922
1711 9.971615090678824
1741 9.904869805919589
1771 9.838571282591147
1801 9.772716530285834
1831 9.707302578612143
1861 9.64232647704921
1891 9.577785294844944
1921 9.513676120848686
1951 9.449996063405706
1981 9.386742250204406
2011 9.323911828181735
2041 9.261501963341289
2071 9.199509840680548
2101 9.137932664023538
2131 9.07676765592987
2161 9.016012057523767
2191 8.955663128421293
2221 8.895718146559375
2251 8.836174408112129
2281 8.777029227348976
2311 8.718279936510953
2341 8.65992388569066
2371 8.601958442730393
2401 8.544380993091181
2431 8.48718893971818
2461 8.430379702956998
2491 8.373950720411813
2521 8.317899446839874
2551 8.262223354038724
2581 8.206919930722506
2611 8.151986682416464
2641 8.0974211313478
2671 8.043220816321991
2701 7.989383292624552
2731 7.9359061318973545
2761 7.882786922040395
2791 7.830023267102661
2821 7.777612787169346
2851 7.725553118249081
2881 7.673841912175703
2911 7.622476836517308
2941 7.571455574427091
2971 7.520775824577868
3001 7.470435301056568
3031 7.42043173323691
3061 7.370762865706638
3091 7.321426458122005
3121 7.272420285167755
3151 7.22374213639705
3181 7.175389816184179
3211 7.127361143575399
3241 7.079653952241642
3271 7.032266090311168
3301 6.98519542037684
3331 6.938439819285122
3361 6.891997178114252
3391 6.845865402072377
3421 6.8000424103520345
3451 6.754526136115601
3481 6.70931452633522
3511 6.664405541727319
3541 6.6197971566725755
3571 6.575487359084946
3601 6.5314741503680125
3631 6.487755545298569
3661 6.444329571939306
3691 6.401194271544227
3721 6.358347698485886
3751 6.315787920175353
3781 6.273513016923971
3811 6.231521081914252
3841 6.18981022110529
3871 6.148378553116345
3901 6.107224209146807
3931 6.066345332932542
3961 6.025740080629475
3991 5.9854066207117285
4021 5.945343133935239
4051 5.9055478132286225
4081 5.866018863613135
4111 5.8267545021444676
4141 5.787752957767225
4171 5.749012471314927
4201 5.71053129540087
4231 5.67230769431626
4261 5.634339943964733
4291 5.5966263318186975
4321 5.559165156795643
4351 5.521954729192657
4381 5.484993370635493
4411 5.448279413947603
4441 5.411811203171965
4471 5.375587093389186
4501 5.339605450688396
4531 5.303864652130869
4561 5.26836308559723
4591 5.233099149802001
4621 5.198071254140814
4651 5.163277818690403
4681 5.128717274070368
4711 5.094388061421341
4741 5.060288632310403
4771 5.026417448694701
4801 4.992772982790484
4831 4.959353717058548
4861 4.9261581441169255
4891 4.893184766675404
4921 4.860432097455487
4951 4.82789865914674
4981 4.795582984319481
5011 4.763483615373843
5041 4.731599104437919
5071 4.699928013360477
5101 4.668468913638208
5131 4.637220386284753
5161 4.6061810218088794
5191 4.5753494201926515
5221 4.544724190760462
5251 4.514303952157206
5281 4.484087332282797
5311 4.454072968197579
5341 4.424259506093222
5371 4.394645601234515
5401 4.365229917879333
5431 4.336011129220424
5461 4.3069879173490335
5491 4.278158973145764
5521 4.249522996295127
5551 4.22107869516185
5581 4.192824786739948
5611 4.1647599966599955
5641 4.136883059036336
5671 4.109192716459802
5701 4.081687719983165
5731 4.054366828961065
5761 4.027228811093664
5791 4.000272442310234
5821 3.973496506732772
5851 3.9468997966323514
5881 3.92048111234908
5911 3.8942392622702755
5941 3.8681730627431534
5971 3.8422813380748266
6001 3.8165629203722347
6031 3.791016649614903
6061 3.7656413735458045
6091 3.7404359475913225
6121 3.715399234875804
6151 3.6905301060760394
